Reservoir,Nb,U/Pb,La,Rb,Ba,Th/U,Location
DM,4.4,0.268292683,3.55,2.98,23.88,2.363636364,
DM,4.6,0.156626506,4.29,3.82,23.73,2.384615385,
DM,1.76,0.205,2.73,0.7,9.16,2.317073171,
DM,2.07,,,0.583,,,
DM,2.29,,,1.01,,,
DM,,,,1.85,,,
DM,,,,1.34,,,
DM,1.47,,,0.428,,,
DM,,,,1.55,,,
DM,,,1.6,0.26,2.6,,
DM,,,2.4,2.63,9.17,,
DM,,,3.9,2.09,14,,
DM,,,3.86,1.48,14.3,,
DM,,,3.15,1.63,13.6,,
DM,,,2.83,1.32,9.1,,
DM,,,1.78,0.72,5.89,,
DM,1.28,,2.11,0.58,,,
DM,,,2.73,0.78,8.59,,
DM,1.42,,2.19,0.67,,,
DM,,,2.92,1.24,17.3,,
DM,1.42,,1.89,0.65,,,
DM,1.64,1,3.01,1.65,6.11,1.8,
DM,2.12,,2.47,0.89,,,
DM,1.87,2.5,3.36,0.72,5.62,2.2,
DM,,,2.26,0.77,6.79,,
DM,1.6,,2.31,0.75,,,
DM,3.63,0.526315789,4.68,4.4,10.45,0.866666667,
DM,4.26,0.928571429,3.96,3.17,20.12,1.769230769,
DM,1.5,0.178571429,2.62,1.49,6.81,2,
DM,1.7,0.166666667,2.1,3.2,5,1.285714286,
DM,1.02,,1.5,0.36,6.14,,
DM,,,4,,30,,
DM,2.02,0.18,3.45,0.88,8.02,1.555555556,
DM,1.61,0.153846154,2.71,0.61,6.24,2.166666667,
DM,1.58,0.222222222,2.59,0.65,6.54,1.5,
DM,3.17,0.473684211,3.44,1.75,9.44,1.666666667,
DM,2.54,0.647058824,3.25,1.46,9.05,1.363636364,
DM,3.3,0.425531915,4.45,1.64,10.55,1,
DM,5.05,0.144927536,4.02,4.44,39.08,1.7,
DM,,,3.4,,20,,
DM,4.92,,3.57,3.31,,,
DM,6.14,0.16,6.47,2.73,26.41,3.5,
DM,3.24,0.1,4.88,1.64,16.91,3,
DM,3.31,0.138888889,5.34,1.69,17.62,2.1,
DM,2.12,0.155555556,3.3,1.18,10.88,2.428571429,
DM,2.01,0.115384615,3.5,0.96,11.03,3,
DM,2.21,0.2,3.04,1.05,10.69,2.5,
DM,2.1,0.145833333,3.32,1.07,11.22,2.142857143,
DM,,,1.99,1.13,13.3,,
DM,5.28,,3.84,2.85,,,
DM,4.75,0.1484375,3.59,2.42,30.8,2.905263158,
DM,,,4.52,3.67,46,,
DM,4.26,0.225806452,6.49,1.53,16.67,1.857142857,
DM,4.43,1.5,5.82,2.35,18.69,1.933333333,
DM,3.98,0.117647059,6.39,1.63,16.41,2.9,
DM,4.04,0.160493827,6.42,1.52,16.15,2.307692308,
DM,4.53,2.5,6.03,2.57,24.49,2.2,
DM,4.53,0.8125,5.89,2.77,17.98,2.153846154,
DM,4.44,0.181818182,5.95,2.55,48.67,2.666666667,
DM,60.3,,43.1,39.39,,,
DM,3.33,0.146666667,5.86,1.56,14.1,2,
DM,3.52,0.133333333,6.02,1.49,14.38,2.6,
DM,3.47,0.106666667,6.02,1.54,14.07,3,
DM,3.04,0.1,5.45,1.39,12.92,3.714285714,
DM,4.62,,3.72,2.42,,,
DM,4.5,,3.61,3.14,,,
DM,2.89,0.238095238,3.75,1.39,15.06,1.8,
DM,7.57,,5.28,3.93,,,
DM,3.01,0.172413793,4.3,1.42,15.51,1.6,
DM,11.43,0.564516129,6.43,5.36,64.17,3.123809524,
DM,,,,,,3.025157233,
DM,10,,5,2,,3,
DM,7.81,0.482142857,4.31,3.54,50.73,2.87037037,
DM,6.7,,6.1,2.5,36,3.044025157,
DM,,,1.41,,,1.905405405,
DM,4.85,,3.64,2.53,,,
DM,0.962,0.162679426,0.96,0.114,8.77,0.735294118,
DM,1.02,0.069444444,0.95,0.214,8.71,1.7,
DM,,,5.2,1.72,16,,
DM,1.798,0.271428571,1.12,0.845,12.97,1.438596491,
DM,3.379,0.483739837,2.07,0.641,10.39,1.319327731,
DM,8.41,0.262650602,5.29,2.492,40.02,3.201834862,
